year,mileage,fuel_type,transmission,seller_type,car_condition,brand,price
2006,158812,Electric,Automatic,Dealer,Excellent,BMW,15636
2019,64353,Diesel,Manual,Dealer,Poor,Toyota,6583
2014,118132,Diesel,Manual,Dealer,Excellent,Toyota,10821
2010,192604,Electric,Automatic,Dealer,Excellent,Tesla,15681
2007,21052,Diesel,Automatic,Dealer,Good,Hyundai,11798
2020,105689,Hybrid,Manual,Dealer,Excellent,Hyundai,8094
2006,183148,Diesel,Automatic,Individual,Excellent,Hyundai,5721
2018,189492,Petrol,Semi-Auto,Dealer,Poor,Hyundai,2974
2022,136743,Hybrid,Semi-Auto,Dealer,Excellent,Hyundai,8615
2010,5163,Hybrid,Semi-Auto,Individual,Poor,Tesla,20176
2010,46424,Hybrid,Semi-Auto,Individual,Good,Ford,14829
2020,189816,Electric,Semi-Auto,Online Platform,Poor,BMW,6528
2003,146706,Electric,Automatic,Dealer,Fair,Hyundai,4994
2007,140870,Hybrid,Automatic,Dealer,Fair,Ford,8576
2002,27420,Electric,Semi-Auto,Dealer,Poor,Toyota,7632
2021,125575,Diesel,Automatic,Dealer,Fair,Tesla,15178
2020,34300,Electric,Automatic,Online Platform,Good,Ford,14743
2001,94881,Electric,Semi-Auto,Individual,Fair,Hyundai,6769
2011,15749,Hybrid,Automatic,Individual,Poor,Hyundai,7218
2005,109131,Petrol,Automatic,Dealer,Good,Hyundai,6782
2001,161193,Petrol,Automatic,Dealer,Fair,Ford,6726
2020,133563,Petrol,Semi-Auto,Dealer,Good,Hyundai,7274
2000,42487,Diesel,Automatic,Online Platform,Poor,Ford,9694
2011,169433,Electric,Manual,Online Platform,Fair,Hyundai,4549
2021,26223,Petrol,Manual,Individual,Good,Toyota,12796
2011,77930,Hybrid,Semi-Auto,Dealer,Good,Toyota,11680
2016,150128,Petrol,Manual,Dealer,Fair,BMW,11766
2009,33380,Petrol,Semi-Auto,Dealer,Good,Hyundai,11306
2015,31035,Electric,Manual,Dealer,Good,Hyundai,11028
2014,35620,Electric,Manual,Online Platform,Poor,Ford,9077
2014,155949,Electric,Manual,Individual,Poor,Ford,5336
2018,191388,Diesel,Semi-Auto,Individual,Poor,Hyundai,2901
2011,122360,Diesel,Semi-Auto,Online Platform,Poor,BMW,10202
2022,58352,Petrol,Automatic,Dealer,Poor,Hyundai,5845
2019,166983,Electric,Semi-Auto,Individual,Poor,Ford,4066
2002,168856,Petrol,Manual,Individual,Fair,Hyundai,4460
2004,8191,Hybrid,Manual,Online Platform,Poor,Ford,10474
2018,169232,Hybrid,Semi-Auto,Dealer,Good,Hyundai,5779
2006,95536,Electric,Semi-Auto,Individual,Fair,Tesla,19812
2020,109576,Electric,Semi-Auto,Dealer,Good,Ford,11058
2008,185795,Hybrid,Automatic,Individual,Poor,BMW,6090
2006,8631,Electric,Manual,Online Platform,Poor,Tesla,19265
2017,142244,Diesel,Automatic,Dealer,Good,Hyundai,6005
2003,47080,Diesel,Automatic,Online Platform,Good,Ford,15973
2013,95353,Electric,Manual,Individual,Good,Tesla,20802
2017,156353,Hybrid,Manual,Online Platform,Excellent,BMW,15373
2008,33671,Petrol,Semi-Auto,Online Platform,Excellent,Ford,20103
2020,127811,Electric,Semi-Auto,Online Platform,Excellent,Tesla,26897
2001,187503,Electric,Automatic,Individual,Excellent,Tesla,13684
2019,132734,Petrol,Semi-Auto,Dealer,Fair,Tesla,14145
